C.D.S.  -  SIMBAD4 rel 1.6  -  2018.04.29CEST19:43:33

coord 05 38 55.526-69 04 26.72 (ICRS, J2000, 2000.0), radius: 10 arcmin
-----------------------------------------------------------------------

Number of objects : 3343

 #  |dist(asec)|          identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|----------|------------------------------|---|---------------------------|------|------|------|------|------|-----------------------------------|----|----
163 |     53.70|[IBC2013] 37                  |cor|05 38 46.38 -69 04 48.7    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
164 |     54.09|[IBC2013] 38                  |cor|05 38 46.18 -69 04 47.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
165 |     54.23|[IBC2013] 23                  |cor|05 38 47.09 -69 04 56.7    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
166 |     54.49|[IBC2013] 24                  |cor|05 38 47.53 -69 05 00.4    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
167 |     54.54|[IBC2013] 25                  |cor|05 38 47.76 -69 05 02.0    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
168 |     54.82|2MASS J05385508-6903319       |*  |05 38 55.088 -69 03 31.95  |     ~|17.23 |16.62 |     ~|     ~|~                                  |   1|   0
169 |     54.92|[IBC2013] 28                  |cor|05 38 46.90 -69 04 56.4    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
170 |     55.41|CXOU J053904.6-690452         |X  |05 39 04.695 -69 04 52.38  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
171 |     55.62|[IBC2013] 46                  |cor|05 38 45.43 -69 04 39.7    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
172 |     55.78|[P93] 1390                    |*  |05 38 47.40 -69 05 01.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
173 |     55.78|[AMO2014] 5                   |cor|05 38 47.02 -69 04 58.9    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
174 |     56.04|[IBC2013] 45                  |cor|05 38 45.39 -69 04 40.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
175 |     56.47|[IBC2013] 21                  |cor|05 38 47.05 -69 05 00.3    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
176 |     56.70|2MASS J05385003-6903382       |IR |05 38 50.039 -69 03 38.24  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
177 |     56.74|[KKB2007] 30 Dor-23           |Y*?|05 38 45.300 -69 04 41.50  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
178 |     56.95|2MASS J05384509-6904157       |*  |05 38 45.095 -69 04 15.76  |     ~|16.25 |16.07 |     ~|     ~|O4-5V((fc))                        |  11|   0
179 |     56.97|[IBC2013] 27                  |cor|05 38 46.47 -69 04 56.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
180 |     57.27|[IBC2013] 20                  |cor|05 38 45.80 -69 04 50.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
181 |     57.27|2MASS J05384705-6905016       |*  |05 38 47.06 -69 05 01.7    |     ~|17.697|17.740|     ~|     ~|B0IV                               |   5|   0
