ra,ra_error,dec,dec_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_pmra_corr,ra_pmdec_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmdec_corr,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,ruwe,phot_g_mean_mag,bp_rp,dr2_radial_velocity
84.27623084631668,0.03394273,-69.22362618048437,0.033492167,1.871087,1.7368850560463103,0.049824815,0.6958425418076489,0.04340986,0.10046852,0.027984278,-0.13099174,-0.10562691,-0.3212297,-0.16315772,313,1,1.0034972,16.214518,1.6932154,
84.27131744822188,0.03250742,-69.2134126089327,0.03283744,1.6947159,1.555440641058566,0.049403794,0.6728047893554673,0.04205926,0.07368772,-0.008875346,-0.10461768,-0.07037237,-0.3570886,-0.18795627,294,2,0.98853767,16.113092,0.8376484,
84.25344525125591,0.03499211,-69.19630519750497,0.034246366,1.6831683,1.593954805808473,0.05093882,0.5407066019643222,0.044483267,0.04637072,0.0011756251,-0.123154536,-0.12480608,-0.32892767,-0.15160936,310,1,1.0303893,16.272364,0.568244,
84.2584292038704,0.04359055,-69.20378973064446,0.043614686,1.7821937,1.6844003976708697,0.06408939,0.5822452474753612,0.05612335,0.11213539,0.023721594,-0.13694951,-0.09686045,-0.35844344,-0.16361454,308,3,1.0266185,16.67885,1.6883154,
84.21046312165558,0.0406179,-69.20921418877035,0.042516164,1.7328196,1.6253358047071127,0.06027619,0.6007885997025336,0.05489572,0.07738571,-0.045295082,-0.11867168,-0.10234075,-0.40481165,-0.12709065,321,2,0.988489,16.610067,0.16537285,
84.21645967104823,0.043127656,-69.21594270280359,0.04267022,1.8217578,1.7579780509563605,0.06435656,0.47782261930718956,0.05424963,0.12288732,0.023339067,-0.1340885,-0.10556007,-0.35101703,-0.1470837,302,0,1.0088845,16.649225,0.23450089,
84.20542111078908,0.035030674,-69.19477425424192,0.035461303,1.7533332,1.6617833680394507,0.05143525,0.5591543435554541,0.045805406,0.07106906,-0.03882927,-0.13659382,-0.13264316,-0.33387315,-0.1677251,320,2,0.97238255,16.262197,-0.07571411,
84.18946932953872,0.053538967,-69.19834329411002,0.057210267,1.8209927,1.770129908748175,0.079543926,0.42738120287597364,0.07571461,0.0786971,-0.014651323,-0.13768207,-0.107497364,-0.40537602,-0.14031215,310,1,1.0362471,16.955256,2.2643814,
84.19232364139641,0.04579418,-69.1957106248479,0.046144377,1.8108697,1.6927654266092202,0.067621924,0.6432683278819898,0.060147073,0.08388749,-0.036696143,-0.14379631,-0.13433887,-0.33805218,-0.16630365,321,1,1.0438138,16.64687,-0.18562126,
84.20154200933035,0.031563066,-69.19863850206276,0.031727247,1.7287482,1.7098135518918287,0.04499596,0.2551628518300405,0.040850855,0.052794665,0.001979278,-0.14586446,-0.13723497,-0.2963186,-0.19655283,321,2,1.2160335,15.500232,0.01048851,
84.20814370110992,0.01643225,-69.19751550190321,0.016176421,1.8440472,1.7441374567035028,0.022604952,0.5987443319117715,0.020979404,0.053632773,0.023830062,-0.15304138,-0.1350858,-0.27457303,-0.19674614,321,0,0.90375566,13.492548,-0.071333885,
84.22670125343615,0.05516896,-69.21196984555682,0.056815725,1.6027002,1.602672230119284,0.07956016,0.009468899842447236,0.070330106,0.07717305,0.001180188,-0.12783849,-0.08941342,-0.38783294,-0.22044228,298,0,1.3320584,16.621042,0.67059326,
84.19847634050971,0.03742612,-69.19704462360234,0.03740821,7.9776077,7.6570495794486995,0.057479803,-2.238708453674181,0.049002066,0.0650424,-0.038616385,-0.13427253,-0.12198128,-0.31735668,-0.18821564,312,1,1.0719998,16.057428,1.8368378,
84.22996738813954,0.017984089,-69.19377000924956,0.018202446,1.9912919,1.8784420271082685,0.023853028,0.6608321582402106,0.02277819,0.12428944,0.06601506,-0.19320087,-0.14023566,-0.27932706,-0.21082705,298,0,1.0221875,11.842647,0.30614758,
84.22575347874863,0.024893295,-69.19510219378198,0.025211636,1.9110383,1.8120612028653877,0.034370717,0.6070431612450117,0.031458706,0.13490415,-0.018537551,-0.1830163,-0.139953,-0.3111093,-0.1889197,297,2,0.99936354,15.263095,0.09492016,
84.22736762020921,0.11331412,-69.19423135582365,0.06352866,2.5977137,2.5923882863621857,0.14379351,0.16624977191961376,0.080023475,-0.08430927,-0.466394,-0.07211153,-0.0856789,-0.3051477,-0.16644154,189,1,1.2872561,16.465292,,
84.22750755181353,0.5302973,-69.19367799020232,0.1249066,,,,,,0.26728496,,,,,,94,0,,14.614455,,
